chr	pos	strand	context	ratio	eff_CT_count	C_count	CT_count	rev_G_count	rev_GA_count	CI_lower	CI_upper
chr17	78439926	+	CG	0.0000000000	11.00	0	11	NA	NA	0.0000000000	0.2588400172
chr17	78439927	-	CG	0.0000000000	3.00	0	3	NA	NA	0.0000000000	0.5615060804
chr17	78440038	+	CG	0.0000000000	17.00	0	17	NA	NA	0.0000000000	0.1843236604
chr17	78440039	-	CG	0.0000000000	27.00	0	27	NA	NA	0.0000000000	0.1245590371
chr17	78440114	+	CG	0.5000000000	12.00	6	12	NA	NA	0.2537781704	0.7462218296
chr17	78440115	-	CG	0.1282051282	39.00	5	39	NA	NA	0.0560273495	0.2670604904
chr17	78440199	+	CG	0.0689655172	29.00	2	29	NA	NA	0.0191208641	0.2196494760
chr17	78440200	-	CG	0.1600000000	25.00	4	25	NA	NA	0.0640334761	0.3465401398
chr17	78440215	+	CG	0.5483870968	31.00	17	31	NA	NA	0.3777187960	0.7083851716
chr17	78440216	-	CG	0.5600000000	25.00	14	25	NA	NA	0.3706701702	0.7333462505
chr17	78440229	+	CG	0.0370370370	27.00	1	27	NA	NA	0.0065679765	0.1828385393
chr17	78440230	-	CG	0.0434782609	23.00	1	23	NA	NA	0.0077164670	0.2099158649
chr17	78440274	+	CG	0.1666666667	30.00	5	30	NA	NA	0.0733643424	0.3356470519
chr17	78440275	-	CG	0.1923076923	26.00	5	26	NA	NA	0.0850693577	0.3787663615
chr17	78440283	+	CG	0.1333333333	30.00	4	30	NA	NA	0.0530956942	0.2968168394
chr17	78440284	-	CG	0.3461538462	26.00	9	26	NA	NA	0.1941201497	0.5377977099
chr17	78440293	+	CG	0.4333333333	30.00	13	30	NA	NA	0.2737723743	0.6080299045
chr17	78440294	-	CG	0.3478260870	23.00	8	23	NA	NA	0.1881105464	0.5511002309
chr17	78440299	+	CG	0.2068965517	29.00	6	29	NA	NA	0.0984593652	0.3839044661
chr17	78440300	-	CG	0.2105263158	19.00	4	19	NA	NA	0.0850753849	0.4333471424
chr17	78440316	+	CG	0.1724137931	29.00	5	29	NA	NA	0.0759774527	0.3454880057
chr17	78440317	-	CG	0.2500000000	16.00	4	16	NA	NA	0.1018190198	0.4949876893
chr17	78440318	+	CG	0.1875000000	32.00	6	32	NA	NA	0.0888942394	0.3530949575
chr17	78440319	-	CG	0.3157894737	19.00	6	19	NA	NA	0.1536417100	0.5398998982
chr17	78440347	+	CG	0.1111111111	27.00	3	27	NA	NA	0.0385196479	0.2805818254
chr17	78440348	-	CG	0.3500000000	20.00	7	20	NA	NA	0.1811895479	0.5671494898
chr17	78440370	+	CG	0.7222222222	18.00	13	18	NA	NA	0.4912692245	0.8750043085
chr17	78440371	-	CG	0.3636363636	22.00	8	22	NA	NA	0.1973297277	0.5704865066
chr17	78440419	+	CG	0.2500000000	4.00	1	4	NA	NA	0.0455860626	0.6993639476
chr17	78440420	-	CG	0.0000000000	24.00	0	24	NA	NA	0.0000000000	0.1379805758
chr17	78440475	+	CG	0.2500000000	4.00	1	4	NA	NA	0.0455860626	0.6993639476
chr17	78440476	-	CG	0.0909090909	11.00	1	11	NA	NA	0.0162317523	0.3773646255
chr17	78440514	+	CG	0.5000000000	4.00	2	4	NA	NA	0.1500357088	0.8499642912
chr17	78440515	-	CG	0.2222222222	9.00	2	9	NA	NA	0.0632237623	0.5474166563
chr17	78440602	+	CG	0.0000000000	5.00	0	5	NA	NA	-0.0000000000	0.4344914948
chr17	78440603	-	CG	0.0000000000	3.00	0	3	NA	NA	0.0000000000	0.5615060804
chr17	78440866	+	CG	0.0000000000	4.00	0	4	NA	NA	0.0000000000	0.4899000204
chr17	78441067	+	CG	0.0000000000	1.00	0	1	NA	NA	0.0000000000	0.7934567085
chr17	78441068	-	CG	0.0714285714	14.00	1	14	NA	NA	0.0127218861	0.3146926955
chr17	78441112	+	CG	1.0000000000	1.00	1	1	NA	NA	0.2065432915	1.0000000000
chr17	78441113	-	CG	0.2173913043	23.00	5	23	NA	NA	0.0966383560	0.4190388018
chr17	78441118	+	CG	1.0000000000	1.00	1	1	NA	NA	0.2065432915	1.0000000000
chr17	78441119	-	CG	0.0000000000	24.00	0	24	NA	NA	0.0000000000	0.1379805758
chr17	78441230	-	CG	0.0000000000	55.00	0	55	NA	NA	0.0000000000	0.0652871438
chr17	78441537	+	CG	0.0000000000	2.00	0	2	NA	NA	0.0000000000	0.6576280471
