chr	pos	strand	context	ratio	eff_CT_count	C_count	CT_count	rev_G_count	rev_GA_count	CI_lower	CI_upper
chr17	78439926	+	CG	0.7272727273	11.00	8	11	NA	NA	0.4343497070	0.9025411943
chr17	78439927	-	CG	0.6666666667	3.00	2	3	NA	NA	0.2076549551	0.9385096847
chr17	78440038	+	CG	0.9411764706	17.00	16	17	NA	NA	0.7301745480	0.9895398694
chr17	78440039	-	CG	0.8888888889	27.00	24	27	NA	NA	0.7194181746	0.9614803521
chr17	78440114	+	CG	0.2500000000	12.00	3	12	NA	NA	0.0889400396	0.5323103391
chr17	78440115	-	CG	0.2051282051	39.00	8	39	NA	NA	0.1077959020	0.3553427296
chr17	78440199	+	CG	0.9310344828	29.00	27	29	NA	NA	0.7803505240	0.9808791359
chr17	78440200	-	CG	0.8000000000	25.00	20	25	NA	NA	0.6086866446	0.9113954590
chr17	78440215	+	CG	0.4193548387	31.00	13	31	NA	NA	0.2641530307	0.5923403565
chr17	78440216	-	CG	0.4400000000	25.00	11	25	NA	NA	0.2666537495	0.6293298298
chr17	78440229	+	CG	0.9629629630	27.00	26	27	NA	NA	0.8171614607	0.9934320235
chr17	78440230	-	CG	0.9565217391	23.00	22	23	NA	NA	0.7900841351	0.9922835330
chr17	78440274	+	CG	0.8333333333	30.00	25	30	NA	NA	0.6643529481	0.9266356576
chr17	78440275	-	CG	0.7692307692	26.00	20	26	NA	NA	0.5794807425	0.8896630032
chr17	78440283	+	CG	0.8666666667	30.00	26	30	NA	NA	0.7031831606	0.9469043058
chr17	78440284	-	CG	0.6153846154	26.00	16	26	NA	NA	0.4253452004	0.7757164049
chr17	78440293	+	CG	0.5666666667	30.00	17	30	NA	NA	0.3919700955	0.7262276257
chr17	78440294	-	CG	0.6086956522	23.00	14	23	NA	NA	0.4078517960	0.7784262202
chr17	78440299	+	CG	0.7931034483	29.00	23	29	NA	NA	0.6160955339	0.9015406348
chr17	78440300	-	CG	0.7368421053	19.00	14	19	NA	NA	0.5120803156	0.8819376166
chr17	78440316	+	CG	0.8275862069	29.00	24	29	NA	NA	0.6545119943	0.9240225473
chr17	78440317	-	CG	0.6875000000	16.00	11	16	NA	NA	0.4440393187	0.8583556495
chr17	78440318	+	CG	0.8125000000	32.00	26	32	NA	NA	0.6469050425	0.9111057606
chr17	78440319	-	CG	0.6315789474	19.00	12	19	NA	NA	0.4103915750	0.8085072762
chr17	78440347	+	CG	0.8888888889	27.00	24	27	NA	NA	0.7194181746	0.9614803521
chr17	78440348	-	CG	0.6500000000	20.00	13	20	NA	NA	0.4328505102	0.8188104521
chr17	78440370	+	CG	0.2777777778	18.00	5	18	NA	NA	0.1249956915	0.5087307755
chr17	78440371	-	CG	0.5909090909	22.00	13	22	NA	NA	0.3873447738	0.7674444033
chr17	78440419	+	CG	0.7500000000	4.00	3	4	NA	NA	0.3006360524	0.9544139374
chr17	78440420	-	CG	0.9583333333	24.00	23	24	NA	NA	0.7975777375	0.9926067346
chr17	78440475	+	CG	0.5000000000	4.00	2	4	NA	NA	0.1500357088	0.8499642912
chr17	78440476	-	CG	0.4545454545	11.00	5	11	NA	NA	0.2127095754	0.7199122443
chr17	78440514	+	CG	0.0000000000	4.00	0	4	NA	NA	0.0000000000	0.4899000204
chr17	78440515	-	CG	0.1111111111	9.00	1	9	NA	NA	0.0198903713	0.4350062148
chr17	78440602	+	CG	0.4000000000	5.00	2	5	NA	NA	0.1176182312	0.7692800678
chr17	78440603	-	CG	0.0000000000	3.00	0	3	NA	NA	0.0000000000	0.5615060804
chr17	78440866	+	CG	0.7500000000	4.00	3	4	NA	NA	0.3006360524	0.9544139374
